part,feature,source,option,restricted,expanded,creole,n,by_lang,by_L1,by_total
rule2,phonologically independent reflexive pronoun,grambank,KEPT,,,Saramaccan,,,,
rule2,special adnominal possessive pronouns,grambank,KEPT,,,Saramaccan,,,,
rule2,logophoric pronoun,grambank,ABSENT,,,Saramaccan,,,,
rule2,inclusive/exclusive distinction,grambank,ABSENT,,,Jamaican Creole English,,,,
rule2,gender in independent 3rd person pronouns,grambank,LOST,,,Jamaican Creole English,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,ABSENT,,,Jamaican Creole English,,,,
rule2,dual for all person categories,grambank,ABSENT,,,Jamaican Creole English,,,,
rule2,morphological case on pronominal core arguments,grambank,LOST,,,Jamaican Creole English,,,,
rule2,phonologically independent reflexive pronoun,grambank,LOST,,,Jamaican Creole English,,,,
rule2,special adnominal possessive pronouns,grambank,KEPT,,,Jamaican Creole English,,,,
rule2,logophoric pronoun,grambank,ABSENT,,,Jamaican Creole English,,,,
rule2,inclusive/exclusive distinction,grambank,ABSENT,,,Haitian,,,,
rule2,gender in independent 3rd person pronouns,grambank,LOST,,,Haitian,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,ABSENT,,,Haitian,,,,
rule2,dual for all person categories,grambank,ABSENT,,,Haitian,,,,
rule2,morphological case on pronominal core arguments,grambank,LOST,,,Haitian,,,,
rule2,phonologically independent reflexive pronoun,grambank,ABSENT,,,Haitian,,,,
rule2,logophoric pronoun,grambank,ABSENT,,,Haitian,,,,
rule2,inclusive/exclusive distinction,grambank,ABSENT,,,Berbice Creole Dutch,,,,
rule2,gender in independent 3rd person pronouns,grambank,LOST,,,Berbice Creole Dutch,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,ABSENT,,,Berbice Creole Dutch,,,,
rule2,dual for all person categories,grambank,ABSENT,,,Berbice Creole Dutch,,,,
rule2,morphological case on pronominal core arguments,grambank,LOST,,,Berbice Creole Dutch,,,,
rule2,phonologically independent reflexive pronoun,grambank,KEPT,,,Berbice Creole Dutch,,,,
rule2,special adnominal possessive pronouns,grambank,KEPT,,,Berbice Creole Dutch,,,,
rule2,logophoric pronoun,grambank,ABSENT,,,Berbice Creole Dutch,,,,
rule2,inclusive/exclusive distinction,grambank,ABSENT,,,Kinshasa Lingala,,,,
rule2,gender in independent 3rd person pronouns,grambank,KEPT,,,Kinshasa Lingala,,,,
rule2,dual for all person categories,grambank,ABSENT,,,Kinshasa Lingala,,,,
rule2,morphological case on pronominal core arguments,grambank,ABSENT,,,Kinshasa Lingala,,,,
rule2,inclusive/exclusive distinction,grambank,ABSENT,,,Nubi,,,,
rule2,gender in independent 3rd person pronouns,grambank,LOST,,,Nubi,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,LOST,,,Nubi,,,,
rule2,dual for all person categories,grambank,LOST,,,Nubi,,,,
rule2,morphological case on pronominal core arguments,grambank,LOST,,,Nubi,,,,
rule2,phonologically independent reflexive pronoun,grambank,ABSENT,,,Nubi,,,,
rule2,special adnominal possessive pronouns,grambank,KEPT,,,Nubi,,,,
rule2,logophoric pronoun,grambank,ABSENT,,,Nubi,,,,
rule2,inclusive/exclusive distinction,grambank,ABSENT,,,South Sudanese Creole Arabic,,,,
rule2,gender in independent 3rd person pronouns,grambank,LOST,,,South Sudanese Creole Arabic,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,LOST,,,South Sudanese Creole Arabic,,,,
rule2,dual for all person categories,grambank,LOST,,,South Sudanese Creole Arabic,,,,
rule2,morphological case on pronominal core arguments,grambank,LOST,,,South Sudanese Creole Arabic,,,,
rule2,phonologically independent reflexive pronoun,grambank,ABSENT,,,South Sudanese Creole Arabic,,,,
rule2,special adnominal possessive pronouns,grambank,KEPT,,,South Sudanese Creole Arabic,,,,
rule2,logophoric pronoun,grambank,ABSENT,,,South Sudanese Creole Arabic,,,,
rule2,inclusive/exclusive distinction,grambank,LOST,,,Sri Lanka Malay,,,,
rule2,gender in independent 3rd person pronouns,grambank,ABSENT,,,Sri Lanka Malay,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,ABSENT,,,Sri Lanka Malay,,,,
rule2,dual for all person categories,grambank,ABSENT,,,Sri Lanka Malay,,,,
rule2,morphological case on pronominal core arguments,grambank,GAINED,,,Sri Lanka Malay,,,,
rule2,phonologically independent reflexive pronoun,grambank,LOST,,,Sri Lanka Malay,,,,
rule2,special adnominal possessive pronouns,grambank,ABSENT,,,Sri Lanka Malay,,,,
rule2,logophoric pronoun,grambank,ABSENT,,,Sri Lanka Malay,,,,
rule2,inclusive/exclusive distinction,grambank,KEPT,,,Baba Malay,,,,
rule2,gender in independent 3rd person pronouns,grambank,ABSENT,,,Baba Malay,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,ABSENT,,,Baba Malay,,,,
rule2,dual for all person categories,grambank,ABSENT,,,Baba Malay,,,,
rule2,morphological case on pronominal core arguments,grambank,ABSENT,,,Baba Malay,,,,
rule2,phonologically independent reflexive pronoun,grambank,KEPT,,,Baba Malay,,,,
rule2,special adnominal possessive pronouns,grambank,ABSENT,,,Baba Malay,,,,
rule2,logophoric pronoun,grambank,ABSENT,,,Baba Malay,,,,
rule2,inclusive/exclusive distinction,grambank,KEPT,,,Ambonese Malay,,,,
rule2,gender in independent 3rd person pronouns,grambank,GAINED,,,Ambonese Malay,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,ABSENT,,,Ambonese Malay,,,,
rule2,dual for all person categories,grambank,ABSENT,,,Ambonese Malay,,,,
rule2,morphological case on pronominal core arguments,grambank,ABSENT,,,Ambonese Malay,,,,
rule2,phonologically independent reflexive pronoun,grambank,KEPT,,,Ambonese Malay,,,,
rule2,special adnominal possessive pronouns,grambank,ABSENT,,,Ambonese Malay,,,,
rule2,logophoric pronoun,grambank,ABSENT,,,Ambonese Malay,,,,
