iso639_3,glottocode,name,l1_speakers,year,source_note
yro,yaro1235,Yaroame,430,2015,"wikidata P1098 (unqualified, assumed L1)"
sms,skol1241,Skolt Saami,420,,"wikidata P1098 (unqualified, assumed L1)"
srq,siri1273,Sirionó,400,2004,"wikidata P1098 (unqualified, assumed L1)"
zem,zeem1242,Zeem,400,2003,"wikidata P1098 (unqualified, assumed L1)"
bxd,pela1242,Pela,400,2000,wikidata P1098 (first-language qualified)
yab,yuhu1238,Yuhup,400,1999,"wikidata P1098 (unqualified, assumed L1)"
wam,wamp1249,Wampanoag,400,,"wikidata P1098 (unqualified, assumed L1)"
cim,cimb1238,Cimbrian,400,2000,wikidata P1098 (first-language qualified)
tav,tatu1247,Tatuyo,400,2007,"wikidata P1098 (unqualified, assumed L1)"
bxq,beel1236,Beele,400,,"wikidata P1098 (unqualified, assumed L1)"
pih,pitc1234,Pitcairn-Norfolk,400,2008,wikidata P1098 (first-language qualified)
yoi,yona1241,Yonaguni,400,2015,"wikidata P1098 (unqualified, assumed L1)"
dal,daha1245,Dahalo,400,,"wikidata P1098 (unqualified, assumed L1)"
sbf,shab1252,Shabo,400,2000,wikidata P1098 (first-language qualified)
eme,emer1243,Teko,400,2012,wikidata P1098 (first-language qualified)
dmr,east2472,East Damar,400,,"wikidata P1098 (unqualified, assumed L1)"
mmq,musa1266,Aisi,400,2015,wikidata P1098 (first-language qualified)
myp,pira1253,Pirahã,389,2006,"wikidata P1098 (unqualified, assumed L1)"
gvn,kuku1273,Kuku-Yalanji,388,2021,wikidata P1098 (first-language qualified)
yij,yind1247,Yindjibarndi,377,2016,"wikidata P1098 (unqualified, assumed L1)"
mph,maun1240,Mawng,371,2016,"wikidata P1098 (unqualified, assumed L1)"
mbj,nade1244,Nadëb,370,2011,"wikidata P1098 (unqualified, assumed L1)"
ano,ando1256,Andoque,370,2007,"wikidata P1098 (unqualified, assumed L1)"
cku,koas1236,Koasati,370,2015,wikidata P1098 (first-language qualified)
suy,suya1243,Suyá,350,2006,"wikidata P1098 (unqualified, assumed L1)"
auw,awyi1241,Awyi,350,,"wikidata P1098 (unqualified, assumed L1)"
kzd,kada1286,Kadai,350,,"wikidata P1098 (unqualified, assumed L1)"
lnn,lore1244,Nethalp,340,2000,"wikidata P1098 (unqualified, assumed L1)"
aap,para1310,Pará Arára,340,2010,"wikidata P1098 (unqualified, assumed L1)"
wmd,mama1278,Mamaindé,340,2010,"wikidata P1098 (unqualified, assumed L1)"
mpq,mati1255,Matís,320,2008,"wikidata P1098 (unqualified, assumed L1)"
wau,waur1244,Waurá,320,2006,"wikidata P1098 (unqualified, assumed L1)"
kmq,kwam1249,Gwama,319,2007,"wikidata P1098 (unqualified, assumed L1)"
nay,narr1259,Narrinyeri,312,2016,wikidata P1098 (first-language qualified)
dhg,dhan1270,Dhangu,310,2016,wikidata P1098 (first-language qualified)
btn,rata1245,Ratagnon,310,2010,wikidata P1098 (first-language qualified)
nhv,tema1239,Temascaltepec Nahuatl,310,1990,wikidata P1098 (first-language qualified)
amc,amah1246,Amahuaca,310,2000,"wikidata P1098 (unqualified, assumed L1)"
ctz,zaca1242,Zacatepec Chatino,300,2015,wikidata P1098 (first-language qualified)
tsm,turk1288,Turkish Sign Language,300,2021,"wikidata P1098 (unqualified, assumed L1)"
tnc,tani1257,Tanimuca-Retuarã,300,1976,"wikidata P1098 (unqualified, assumed L1)"
fss,finl1235,Finland-Swedish Sign Language,300,2014,"wikidata P1098 (unqualified, assumed L1)"
koy,koyu1237,Koyukon,300,2007,"wikidata P1098 (unqualified, assumed L1)"
smn,inar1241,Inari Saami,300,,"wikidata P1098 (unqualified, assumed L1)"
yee,yima1243,Yimas,300,,"wikidata P1098 (unqualified, assumed L1)"
bsa,abin1243,Abinomn,300,2002,"wikidata P1098 (unqualified, assumed L1)"
slf,swis1235,Swiss-Italian Sign Language,300,2010,"wikidata P1098 (unqualified, assumed L1)"
ved,vedd1240,Veddah,300,,"wikidata P1098 (unqualified, assumed L1)"
tip,trim1239,Trimuris,300,,"wikidata P1098 (unqualified, assumed L1)"
rmh,murk1238,Murkim,290,2004,"wikidata P1098 (unqualified, assumed L1)"
pad,paum1247,Paumari,290,2007,"wikidata P1098 (unqualified, assumed L1)"
aag,ambr1239,Ambrak,290,2000,"wikidata P1098 (unqualified, assumed L1)"
jur,juru1256,Yudja,280,2006,"wikidata P1098 (unqualified, assumed L1)"
jap,jaru1257,Jaruára,271,2014,"wikidata P1098 (unqualified, assumed L1)"
ktx,kaxa1239,Kaxararí,270,2001,"wikidata P1098 (unqualified, assumed L1)"
cbb,cabi1241,Cabiyarí,270,2008,"wikidata P1098 (unqualified, assumed L1)"
rey,reye1240,Reyesano,250,2007,"wikidata P1098 (unqualified, assumed L1)"
cbv,cacu1241,Kakua,250,2015,"wikidata P1098 (unqualified, assumed L1)"
cod,coca1259,Cocama-Cocamilla,250,2007,"wikidata P1098 (unqualified, assumed L1)"
sac,mesk1242,Meskwaki,250,,"wikidata P1098 (unqualified, assumed L1)"
cox,nant1250,Nanti,250,2007,"wikidata P1098 (unqualified, assumed L1)"
bae,bare1276,Baré,240,2011,"wikidata P1098 (unqualified, assumed L1)"
nys,nyun1247,Nyunga,232,2006,"wikidata P1098 (unqualified, assumed L1)"
mmh,mehi1240,Mehináku,230,2006,"wikidata P1098 (unqualified, assumed L1)"
kis,kiss1246,Kis,220,,"wikidata P1098 (unqualified, assumed L1)"
sri,siri1274,Siriano,220,2008,"wikidata P1098 (unqualified, assumed L1)"
mmp,siaw1243,Siawi,220,,"wikidata P1098 (unqualified, assumed L1)"
cih,chin1475,Chinali,220,2016,wikidata P1098 (first-language qualified)
arr,karo1305,Karo (Brazil),210,2006,"wikidata P1098 (unqualified, assumed L1)"
bph,botl1242,Botlikh,210,2010,"wikidata P1098 (unqualified, assumed L1)"
akv,akhv1239,Northern Akhvakh,210,2010,"wikidata P1098 (unqualified, assumed L1)"
ngr,nang1262,Nanggu,210,1999,"wikidata P1098 (unqualified, assumed L1)"
xjb,twee1234,Tweed-Albert,208,2021,wikidata P1098 (first-language qualified)
bnh,bana1306,Banawá,207,2014,"wikidata P1098 (unqualified, assumed L1)"
ure,uruu1244,Uru,200,2012,"wikidata P1098 (unqualified, assumed L1)"
aaf,aran1261,Aranadan,200,,"wikidata P1098 (unqualified, assumed L1)"
wrm,waru1265,Warumungu,200,1983,"wikidata P1098 (unqualified, assumed L1)"
atw,atsu1245,Atsugewi,200,1977,"wikidata P1098 (unqualified, assumed L1)"
tno,toro1255,Toromono,200,1983,"wikidata P1098 (unqualified, assumed L1)"
bdk,budu1248,Budukh,200,2010,"wikidata P1098 (unqualified, assumed L1)"
mhj,mogh1245,Mogholi,200,2003,"wikidata P1098 (unqualified, assumed L1)"
lfn,ling1267,Lingua Franca Nova,200,,"wikidata P1098 (unqualified, assumed L1)"
tba,aika1237,Aikanã,200,2007,"wikidata P1098 (unqualified, assumed L1)"
lnb,mbal1255,Central Wambo,200,2006,"wikidata P1098 (unqualified, assumed L1)"
zen,zena1248,Zenaga,200,2018,"wikidata P1098 (unqualified, assumed L1)"
afs,afro1254,Afro-Seminole Creole,200,1990,"wikidata P1098 (unqualified, assumed L1)"
rac,rasa1243,Rasawa,200,1987,wikidata P1098 (first-language qualified)
itk,jude1255,Judeo-Italian,200,,"wikidata P1098 (unqualified, assumed L1)"
ale,aleu1260,Aleut,200,2010,"wikidata P1098 (unqualified, assumed L1)"
niv,gily1242,Amur Nivkh,198,2010,"wikidata P1098 (unqualified, assumed L1)"
oca,ocai1244,Ocaina,190,2000,"wikidata P1098 (unqualified, assumed L1)"
mik,mika1239,Mikasuki,190,,"wikidata P1098 (unqualified, assumed L1)"
mmm,maii1238,Maii,180,2001,"wikidata P1098 (unqualified, assumed L1)"
bcr,babi1235,Witsuwit'en-Babine,175,2021,"wikidata P1098 (unqualified, assumed L1)"
ukg,ukur1240,Ukuriguma,170,2003,wikidata P1098 (first-language qualified)
awe,awet1244,Awetí,170,2011,"wikidata P1098 (unqualified, assumed L1)"
gia,kitj1240,Kitja,169,2016,"wikidata P1098 (unqualified, assumed L1)"
bea,beav1236,Beaver,160,,"wikidata P1098 (unqualified, assumed L1)"
mep,miri1266,Miriwung,156,2016,wikidata P1098 (first-language qualified)
ulc,ulch1241,Ulch,154,2010,"wikidata P1098 (unqualified, assumed L1)"
cby,cara1245,Carabayo,150,2007,"wikidata P1098 (unqualified, assumed L1)"
bmr,muin1242,Muinane,150,2007,"wikidata P1098 (unqualified, assumed L1)"
ket,kett1243,Ket,150,2000,"wikidata P1098 (unqualified, assumed L1)"
