model,held_out_recipient,n_pairs,auc_default,auc_learned,train_loss_start,train_loss_end,w_syl,w_son,w_cons,w_cont,w_delrel,w_lat,w_nas,w_strid,w_voi,w_sg,w_cg,w_ant,w_cor,w_distr,w_lab,w_hi,w_lo,w_back,w_round,w_velaric,w_tense,w_long,w_del_C,w_del_V,w_ins_C,w_ins_V,w_ins_V_cluster,w_ins_V_edge,w_ins_V_other
FeatureWeightCosts,KildinSaami,384,0.9215460883246528,0.9719916449652778,0.21883154230597707,0.09632477502639229,0.8464621136500743,0.8769187006552369,0.8092756775688499,0.4076556058847302,0.1053872943160703,0.17954401904536588,0.5905815240073203,0.08651584903679399,0.44793574599071506,0.06882752281012712,0.07289537497566496,0.12076858817759893,0.1549395865374377,0.09391415365638064,0.8063342181106183,0.11392903447791407,0.4717357376771271,0.4832664973560076,0.24007883474783612,0.10682134194669281,0.05527074263239624,0.11094183673904179,3.3662892904034813,2.176879556128873,3.8778182081688843,2.5372387482477543,,,
FeatureWeightCosts,Saramaccan,525,0.8924734693877551,0.9771319727891157,0.21697470840477742,0.09696823403056402,0.8458499979684428,0.8749524924653518,0.8116198337549612,0.4120088933132978,0.10662471877960467,0.18928343413956017,0.6046927395430024,0.08812071035472863,0.4397129318537042,0.06894703452345079,0.0737496023724268,0.12297170200104311,0.1637750122616886,0.0946430890651659,0.8015893741470962,0.11852860544805092,0.44371576689635905,0.4815731456595162,0.23761988603438014,0.10692950246012943,0.05515884766074513,0.10793267929729213,3.387141710959516,2.1915615230105927,3.9427308398935863,2.487398793205193,,,
FeatureWeightCosts,TarifiytBerber,677,0.917626857563017,0.9673989644993007,0.21848856865228905,0.09647426535764489,0.8459354554402042,0.8758989791247782,0.8111294239604913,0.40855445164383636,0.10502419432219277,0.1887474017280185,0.6142529943381119,0.08806172235790956,0.4336554329063153,0.06891165825689649,0.07362360109252414,0.11736569592714466,0.16104964974752947,0.09241303000702601,0.8049707175802477,0.11503694946006118,0.4404762537165671,0.4854554815684126,0.24891460170870713,0.10688817479038636,0.05530728630548712,0.1083268440171506,3.3599785930042807,2.1834896540966016,3.8825660478947457,2.5127622857075984,,,
FeatureWeightCosts,ZinacantanTzotzil,228,0.9043551862111419,0.9684133579562942,0.21872486023528478,0.09665418537044426,0.8439827504199402,0.8762822329545967,0.8091775103259232,0.42160305957565397,0.10596040278427651,0.18621626535005004,0.5989625034185101,0.08866417681258593,0.4384544625507452,0.0687667282846251,0.07260790866641044,0.12167417648145715,0.16395569822428424,0.09375503862695565,0.8070019169155811,0.11839710497446401,0.44821700972178263,0.4844888736827245,0.23211235843325695,0.10657738617849201,0.054908666092373826,0.10823376952530987,3.3774833686972214,2.2020042493230214,3.914328435430252,2.5133761148556903,,,
FeatureWeightCosts,Vietnamese,34,0.7391868512110726,0.8801903114186851,0.21320523224288146,0.09390684694195839,0.8329224165215815,0.8753690321691104,0.7998097385823677,0.4243767873699176,0.10684530626472742,0.18601683171442684,0.6167617564778538,0.08372477353114369,0.40296071762074137,0.06787054214483985,0.07196550459635317,0.12240974549006525,0.14209910533314216,0.0866622999831187,0.8768004119035072,0.11186923055624882,0.4309362509685186,0.5420114194709322,0.20806464672033237,0.10367452544767804,0.05442700064387014,0.10242195648952371,3.494052157209031,2.1504115539164257,3.834242689989221,2.5696695391508904,,,
FeatureWeightCosts,Yaqui,407,0.9294804073673852,0.9736762672880609,0.2193042099757161,0.09711204412647689,0.842721410234791,0.8747059545310386,0.8084328022188482,0.41849871180506537,0.10531482380451969,0.1886260268519529,0.6081467844123786,0.09029041343484742,0.44101481866486775,0.06861866207171703,0.07306845103329072,0.12138325348274101,0.16499803733835586,0.09439560152534891,0.8047825423256235,0.11548009448277276,0.437820735815605,0.48663280962230737,0.23674469270847467,0.10622148334718128,0.0546802426113367,0.1074216476769371,3.384493466607574,2.185845631423545,3.917922415280957,2.4986337405650008,,,
FeatureWeightCosts,WhiteHmong,281,0.7288028267119211,0.802345461683616,0.210069513736306,0.0845828603009158,0.860971415137065,0.8714750181449099,0.8185672594989366,0.4588287867508567,0.1059526485674883,0.15958567518302205,0.5489353334513886,0.08992136649641076,0.46380665074774985,0.07038982705977406,0.07638671107100087,0.11590779585176898,0.17526612147118054,0.0891130761451693,0.7355217491270156,0.11789904076185408,0.4263896936927911,0.45331395580498013,0.34033083510239104,0.10870817952757274,0.05563817301225266,0.10709068739442072,3.067677382034441,2.089700290476623,3.7044915209641096,2.3127236176090085,,,
FeatureWeightCosts,Hawaiian,231,0.8673937894717115,0.9556136504188453,0.21566059843042962,0.09540632676112674,0.8510830756057688,0.8752665597046009,0.8129640607458046,0.4173242786137771,0.10838465826194998,0.18291626493642751,0.5824489551808373,0.09445528387546266,0.446342364111511,0.06975421090312964,0.07403577691821632,0.12492520009850928,0.16182158182033515,0.09447519825207655,0.7914971838878104,0.11620994578698232,0.46264395680306686,0.4819918983797263,0.22945019779682865,0.10765914797014729,0.055979979189184785,0.10837022115784654,3.307689917586862,2.2063575553489265,3.865174032902602,2.5060674047253784,,,
FeatureWeightCosts,Swahili,663,0.875498499666719,0.961590785519452,0.21626564872955117,0.09623109901121149,0.8487679771726729,0.875841573910286,0.8125153262929867,0.3946085975508928,0.10579859658729165,0.18622312823038542,0.6046154443046926,0.08969674597717313,0.42951118386402987,0.06890211496024767,0.07380802842969567,0.11717490286722744,0.16955205097500603,0.09371512704086549,0.8020651454359343,0.12159624819653374,0.45492205268067804,0.4880463851826406,0.24225431919193216,0.10740385236361608,0.05559071895290675,0.10739047983230533,3.358668589427945,2.189745595515669,3.885049538039974,2.5600874983200903,,,
FeatureWeightCosts,Archi,237,0.9008794886859299,0.9816802862789082,0.21902650614916044,0.09767633633391293,0.8440008486487214,0.8761684340592512,0.809109867010913,0.41012445912599166,0.10586084934802219,0.185901356037028,0.6091880128025896,0.0872193688821068,0.4420604600903878,0.0687662609455163,0.0726772177291004,0.1202538255059369,0.16219978986675362,0.0927034820521641,0.8087392651350962,0.11757348072331109,0.44371617415437786,0.4832364630728539,0.2418061748789591,0.10653220781829162,0.05496258821513852,0.10719941389748713,3.3947370082652677,2.193650771160577,3.9361958095454948,2.5153073162402917,,,
