level,seg,segment_class,n_languages,pct_languages,pct_l1_weighted,pct_total_weighted,l1_with,total_with,top_allophones,merged_strict_variants,n_wold_recipients,in_wold
lumped,j,consonant,1984,0.91135,0.89777,0.93486,5525380912,9667725916,j̃(26) j̥(24) ʝ(18) ɲ(14) i(8) ʒ(7) dʒ(7) jʷ(7),jʱ jː j̟ j̪ j̻ ʱj,26,True
lumped,r,consonant,1713,0.78686,0.89373,0.89469,5500495435,9252287181,ɾ(319) ɽ(59) ɹ(55) r̥(36) ɻ(29) l(19) d(18) rʲ(11),rʰ rʱ rː rˑ r̝ r̟ r̠ r̩ r̪ r̪ː r̺ ɹ ɹ̝ ɹ̩ ɹ̪̩ ɹ̺ ɻ ɻː ɻ̟ ɻ̩ ɻ̺ ɽ ɽʰ ɽʱ ɽ̩ ɾ ɾʱ ɾː ɾ̞ ɾ̠ ɾ̪ ɾ̺ ɾ̻ ʱɾ ʱɾ̪,22,True
lumped,f,consonant,954,0.43822,0.79426,0.86334,4888292268,8928145017,v(24) fʷ(23) fʲ(21) ɸ(19) p(6) fˠ(4) β(3) f̃(2),fʰ fː fˑ f̩,15,True
lumped,b,consonant,1369,0.62885,0.75724,0.79989,4660433431,8271982135,β(59) p(52) bʷ(38) mb(36) bʲ(31) bʱ(20) v(12) b̥(12),bʰ bʱ bʱː bː b̩ b̪ b̻ ʱb,20,True
lumped,d,consonant,1305,0.59945,0.75104,0.79828,4622297140,8255262881,nd(35) t(31) r(28) dʲ(26) ɾ(26) ð(24) dʱ(20) dʷ(18),dʰ dʱ dː d̞ d̟ d̠ d̩ d̪ d̪ʰ d̪ʱ d̪ʱː d̪ː d̪̚ d̪̺ d̪̻ d̺ d̺ʱ d̺ː d̻ d̻ː ʱd,18,True
lumped,w,consonant,1874,0.86082,0.74797,0.80052,4603401768,8278498950,w̃(28) β(27) ɥ(23) v(19) ʍ(15) ʋ(9) u(8) o(6),wʰ wʱ wː ẅ w̞ ʱw,24,True
lumped,ɡ,consonant,1240,0.56959,0.73731,0.74726,4537807260,7727693556,ɣ(71) ɡʷ(37) ɡʲ(34) ŋɡ(31) k(28) ɡʱ(20) ŋ(10) ɟ(10),ɡʰ ɡʱ ɡː ɡ̟ ɡ̩ ʱɡ,16,True
lumped,e,vowel,1646,0.75609,0.73374,0.74976,4515804858,7753565742,ɛ(115) ẽ(68) ɪ(22) ə(19) e̥(17) i(17) ei(8) ḛ(8),eʱ eː eˑ ĕ ë ëː e̝ e̞ e̞ː ĕ̞ ë̞ e̠ e̠̞ e̯,22,True
lumped,o,vowel,1620,0.74414,0.708,0.61161,4357411978,6324910209,ɔ(93) õ(76) u(29) ʊ(20) o̥(18) o̰(9) ə(8) ɤ(8),oː oˑ ŏ ö o̝ o̞ o̞ː ŏ̞ ö̞ o̟ o̟ˑ o̟̞ o̠ o̯,21,True
lumped,ʃ,consonant,763,0.35048,0.59082,0.72083,3636220152,7454313325,ʒ(14) ʃʲ(11) s(8) tʃ(5) ʃʷ(5) ʂ(4) ɕ(3) hʲ(1),ʃʰ ʃː ʃˑ ʃ̞ ʃ̺ ʰʃ,17,True
lumped,ŋ,consonant,1413,0.64906,0.5878,0.65306,3617631566,6753502848,ŋʷ(23) ɲ(19) ŋʲ(14) m(13) n(13) ŋ̥(11) ŋɡ(9) ŋm(7),ŋʰ ŋʱ ŋː ŋˑ ŋ̞ ŋ̟ ŋ̩ ʱŋ,14,True
lumped,tʃ,consonant,920,0.4226,0.5612,0.63355,3453916451,6551804010,tʃʰ(101) dʒ(28) ts(11) tʃʷ(9) ʰtʃ(7) c(6) ʃ(6) tʃʲ(5),t̟ʃ̟ t̠ʃ t̠ʃʰ t̠ʃʰː t̠ʃː t̠ʃ̺ t̠ʃ̺ʰ t̠ːʃ t̺ʃ̺ t̻ʃ̻ ʰt̠ʃ ʰt̠ʃʰ ʰt̠ʃː,17,True
lumped,h,consonant,1242,0.57051,0.54964,0.62341,3382786945,6446932432,x(32) ɦ(27) hʷ(10) h̃(8) ç(7) hʲ(6) ɸ(5) χ(4),hː,22,True
lumped,ɛ,vowel,860,0.39504,0.49719,0.59406,3059982176,6143387077,ɛ̃(48) e(42) æ(20) ɛ̥(12) ə(9) ɪ(3) œ(3) ɜ(3),ɛː ɛˑ ɛ̆ ɛ̝ ɛ̝ː ɛ̞ ɛ̠ ɛ̠ː ɛ̯,12,True
lumped,z,consonant,713,0.32751,0.49173,0.6256,3026360678,6469538935,ʒ(38) dz(14) zʲ(11) dʒ(10) s(10) z̥(8) zʷ(7) s͉(5),zː z̞̩ z̟ z̠ z̩ z̪ z̪ː z̪̻ z̺ z̻ z̻ː ʱz,14,True
lumped,ɔ,vowel,820,0.37667,0.49055,0.56702,3019116410,5863779206,ɔ̃(50) o(20) ɔ̥(9) ɒ(4) ø(3) ɤ(2) ʊ(2) ɔ̤(2),ɔː ɔˑ ɔ̆ ɔ̝ ɔ̝ː ɔ̞ ɔ̞ː ɔ̯ ɔ̽,14,True
lumped,ə,vowel,523,0.24024,0.48524,0.58739,2986425540,6074409608,ə̃(17) a(12) ɐ(8) ɨ(8) ə̥(6) i(6) e(6) ɪ(5),əː əˑ ə̆ ə̞̆ ə̟ ə̟̆ ə̯,8,True
lumped,x,consonant,395,0.18144,0.39258,0.36365,2416160979,3760616553,h(16) xʷ(11) ɣ(11) xʲ(10) ç(9) χ(8) ɦ(2) ɡ(2),xʰ xː x̠,13,True
lumped,ts,consonant,575,0.26412,0.34885,0.28033,2146992202,2899039311,tsʰ(70) tʃ(44) dz(16) tsʲ(7) s(7) z(6) tsʷ(5) ʰts(5),tsʰ tsʰː tsː ts̪ ts̺ ts̻ tːs t̟s̟ t̪s t̪s̪ t̪s̪ʰ t̪s̪ː t̪̻s̪̻ t̺s̺ t̺s̺ʰ t̺s̺ː t̻s̪̻ t̻s̻ t̻s̻ʰ t̻s̻ː ʰts ʰtsʰ ʰtsː,11,True
lumped,v,consonant,603,0.27699,0.34608,0.43749,2129978403,4524249638,w(16) vʲ(13) vʷ(10) β(10) f(9) ʋ(9) v̥(7) ɸ(3),vʱ vː v̩,8,True
lumped,æ,vowel,161,0.07395,0.3328,0.40021,2048231610,4138711835,ɛ(8) æ̃(5) a(3) e(1) æə(1) ə(1) ɒ(1) ɑ(1),æː æˑ,6,True
lumped,ɲ,consonant,962,0.44189,0.32636,0.28565,2008597255,2954050324,ŋ(16) n(11) m(8) ɲ̥(7) j̃(6) ɲʷ(6) ɲʲ(5) j(3),ɲʱ ɲː ɲ̟ ɲ̠ ɲ̩ ɲ̻ ɲ̻̟ ʱɲ,10,True
lumped,dʒ,consonant,612,0.28112,0.31854,0.45678,1960438256,4723765923,ʒ(14) ndʒ(13) tʃ(10) dʒʷ(9) dʒʲ(6) dʒʱ(4) dz(3) tʃ͉(3),d̟ʒ̟ d̠ʒ d̠ʒʰ d̠ʒʱ d̠ʒː d̠ːʒ d̪ʒ d̺ʒ̺ d̻ʒ̻,7,True
lumped,ɪ,vowel,330,0.15158,0.27356,0.38842,1683607411,4016753991,i(20) ɪ̃(15) ɪ̥(7) e(6) ɛ(4) ɨ(3) ə(3) ɯ(2),ɪː ɪ̆ ɪ̈ ɪ̈ː ɪ̝ ɪ̝ː ɪ̞ ɪ̞̈ ɪ̠ ɪ̯,4,True
lumped,ʊ,vowel,306,0.14056,0.27219,0.39006,1675225805,4033752888,ʊ̃(14) o(12) u(10) ʊ̥(8) ɔ(5) ʊ˞(2) ʊ̰(2) ʊ̤(2),ʊː ʊ̆ ʊ̈ ʊ̈ː ʊ̞ ʊ̞̈ ʊ̟ ʊ̯ ʊ̽,4,True
lumped,õ,vowel,320,0.14699,0.2614,0.24071,1608787054,2489310295,ɔ̃(5) ũ(2) ʌ̃(1) ɤ̃(1) õ̰(1) ə(1) ʌ(1) o(1),õ õː ŏ̃ õ̞ õ̞ː,1,True
lumped,ɖ,consonant,166,0.07625,0.25664,0.22916,1579472521,2369810114,ɽ(8) ɖʱ(6) ɖʲ(2) dˀ(1) ɖˀ(1) ɖⁿ(1) ɖˡ(1) ɖʷˠ(1),ɖʰ ɖʱ ɖː ʱɖ,0,False
lumped,ʈ,consonant,358,0.16445,0.25646,0.22887,1578380998,2366846799,ʈʰ(32) ɖ(11) ʈʲʰ(2) ɽ(2) ʈˀ(1) ʈⁿ(1) ʈˡ(1) ʈʷˠ(1),ʈʰ ʈʰː ʈː ʈ̟ ʈ̺ ʰʈ,2,True
lumped,y,vowel,128,0.0588,0.25523,0.24617,1570805348,2545716653,yə(2) ʏ(2) y̥(1) ɔ(1) ø(1) œ(1) j(1) ʒ(1),yː yˑ y̆ y̞ y̠,4,True
lumped,ẽ,vowel,295,0.13551,0.23366,0.20159,1438093661,2084760852,ɛ̃(4) e(1) ẽi(1),ẽ ẽː ẽ̞ ẽ̞ː,1,True
lumped,ʂ,consonant,132,0.06063,0.2273,0.20463,1398895115,2116197915,ʂɻ(1) ʐ(1) s(1) ʃ(1),ʂʰ ʂː ʂ̻,3,True
lumped,ʒ,consonant,314,0.14424,0.22314,0.31097,1373329648,3215802009,dʒ(11) ʃ(6) ʃ͉(5) ʒ̥(5) j(3) ʒʲ(3) ʑ(3) ʐ(2),ʒː ʒ̩ ʒ̺,7,True
lumped,ç,consonant,99,0.04548,0.21887,0.20162,1347064129,2084992668,x(2) çʰ(1) s(1) ch(1) h(1) ʲh(1) j̥(1),çʰ çː ç̟,3,True
lumped,cç,consonant,96,0.0441,0.21687,0.19659,1334720626,2033036024,cçʰ(5) c(4) ɟʝ(3) ʃ(3) ç(1) ɟ̥ʝ(1),cçʰ cçː,1,True
lumped,ai,vowel,105,0.04823,0.21326,0.22473,1312527079,2324027025,ɑi(5) ɐi(3) aɪ(1) ʌi(1) ãĩ(1) ɛi(1) ae(1) ɐ(1),ai̯ ai̯ː aːi aːĭ aːi̯ äi äi̯ a̟i ɐi ɐi̯ ɑi ɑi̯ ɑːi̯,2,True
lumped,ĩ,vowel,431,0.19798,0.21192,0.19101,1304247564,1975334417,ɪ̃(7) ḭ̃(1) ĩˤ(1) i(1) ỹ(1) ĩi(1) ŋ(1) ɴ(1),ĩ ĩː ĩ̞ ĩ̯,3,True
lumped,au,vowel,84,0.03859,0.2091,0.22039,1286935596,2279120577,ɑu(4) ɐu(2) ʌʊ(1) oʊ(1) aʊ(1) ao(1) ɔ(1) o(1),auː au̯ aːu aːŭ aːu̯ äu̯ äu̽ ɐu ɑu ɑuː ɑu̯,2,True
lumped,ʔ,consonant,823,0.37804,0.2069,0.20263,1273354403,2095494073,ʔʲ(4) ʔʰ(3) ʔʷ(2) h(2) ɦ(2) q(2) k(2) wˀ(1),ʔː,17,True
lumped,ũ,vowel,402,0.18466,0.20181,0.18484,1242047173,1911540091,ʊ̃(3) m(1) õ(1) ỹ(1) ũˤ(1) ɨ̃(1) ɔ̃(1) w̃(1),ũ ũː ŭ̃ ũ̯,3,True
lumped,χ,consonant,144,0.06615,0.19084,0.16008,1174515326,1655451116,x(3) χʲ(3) h(2) ʁ(2) q(2) ʀ̥(1) χˤ(1) ɕ(1),χː,2,True
lumped,tɕ,consonant,88,0.04042,0.18664,0.15381,1148653634,1590554546,tɕʰ(13) c(1) cʰ(1) t(1) ʔc(1) ʔcʰ(1) ʔtɕ(1) ɕ(1),tɕʰ tɕʰː tɕː t̟ɕ̟ t̟ːɕ̟ t̺ɕ̺ t̻ɕ̻ t̻ɕ̻ʰ ʰtɕ ʰtɕʰ,4,True
lumped,ɤ,vowel,69,0.03169,0.18554,0.15198,1141901618,1571727371,ɤ̥(3) ɯ(3) ə(2) ɤɰ(1) oɤ(1) e(1) ɪ(1) o(1),ɤː ɤˑ ɤ̝ ɤ̞ ɤ̞ː ɤ̞̆ ɤ̟ ɤ̯,2,True
lumped,b̤,consonant,39,0.01791,0.18445,0.1642,1135198900,1698079575,β(2) b(2) mb̤(1),b̤ʱ b̤ː,0,False
